,pair,period,signal,date
0,SPX,daily,Neutral,2022-02-10 12:54:00-08:00
1,SPX,weekly,Neutral,2022-02-10 12:54:00-08:00
2,DJA,daily,Neutral,2022-02-10 12:54:00-08:00
3,DJA,weekly,Neutral,2022-02-10 12:54:00-08:00
4,SPX,daily,Strong Sell,2022-02-11 12:54:00-08:00
5,SPX,weekly,Sell,2022-02-11 12:54:00-08:00
6,DJA,daily,Strong Sell,2022-02-11 12:54:00-08:00
7,DJA,weekly,Sell,2022-02-11 12:54:00-08:00
8,SPX,daily,Strong Sell,2022-02-14 12:55:00-08:00
9,SPX,weekly,Sell,2022-02-14 12:55:00-08:00
10,DJA,daily,Strong Sell,2022-02-14 14:10:00-08:00
11,DJA,weekly,Sell,2022-02-14 14:10:00-08:00
12,SPX,daily,Neutral,2022-02-15 12:55:00-08:00
13,SPX,weekly,Neutral,2022-02-15 12:55:00-08:00
14,DJA,daily,Neutral,2022-02-15 13:56:00-08:00
15,DJA,weekly,Neutral,2022-02-15 13:56:00-08:00
16,SPX,daily,Neutral,2022-02-16 12:54:00-08:00
17,SPX,weekly,Neutral,2022-02-16 12:54:00-08:00
18,DJA,daily,Sell,2022-02-16 12:54:00-08:00
19,DJA,weekly,Neutral,2022-02-16 12:54:00-08:00
20,SPX,daily,Strong Sell,2022-02-17 12:54:00-08:00
21,SPX,weekly,Strong Sell,2022-02-17 12:54:00-08:00
22,DJA,daily,Strong Sell,2022-02-17 12:54:00-08:00
23,DJA,weekly,Strong Sell,2022-02-17 12:54:00-08:00
24,SPX,daily,Strong Sell,2022-02-18 12:54:00-08:00
25,SPX,weekly,Strong Sell,2022-02-18 12:54:00-08:00
26,DJA,daily,Strong Sell,2022-02-18 12:54:00-08:00
27,DJA,weekly,Strong Sell,2022-02-18 12:54:00-08:00
28,SPX,daily,Strong Sell,2022-02-18 12:55:00-08:00
29,SPX,weekly,Strong Sell,2022-02-18 12:55:00-08:00
30,DJA,daily,Strong Sell,2022-02-18 13:55:00-08:00
31,DJA,weekly,Strong Sell,2022-02-18 13:55:00-08:00
32,SPX,daily,Strong Sell,2022-02-22 12:54:00-08:00
33,SPX,weekly,Strong Sell,2022-02-22 12:54:00-08:00
34,DJA,daily,Strong Sell,2022-02-22 12:54:00-08:00
35,DJA,weekly,Strong Sell,2022-02-22 12:54:00-08:00
36,SPX,daily,Strong Sell,2022-02-23 12:55:00-08:00
37,SPX,weekly,Strong Sell,2022-02-23 12:55:00-08:00
38,DJA,daily,Strong Sell,2022-02-23 13:12:00-08:00
39,DJA,weekly,Strong Sell,2022-02-23 13:12:00-08:00
40,SPX,daily,Strong Sell,2022-02-24 12:55:00-08:00
41,SPX,weekly,Strong Sell,2022-02-24 12:55:00-08:00
42,DJA,daily,Strong Sell,2022-02-24 13:16:00-08:00
43,DJA,weekly,Strong Sell,2022-02-24 13:16:00-08:00
44,SPX,daily,Sell,2022-02-28 12:54:00-08:00
45,SPX,weekly,Strong Sell,2022-02-28 12:54:00-08:00
46,DJA,daily,Strong Sell,2022-02-28 12:54:00-08:00
